"gene_id","SRR5206993_rsem.genes.csv","SRR5206994_rsem.genes.csv","SRR5206995_rsem.genes.csv","SRR5206996_rsem.genes.csv","SRR5206997_rsem.genes.csv","SRR5207019_rsem.genes.csv","SRR5207020_rsem.genes.csv","SRR5207021_rsem.genes.csv","SRR5207022_rsem.genes.csv","SRR5207023_rsem.genes.csv"
"b4164",0,0,0,0,0,0,0,0,0,0
"b4165",0,0,0,0,0,0,0,0,0,0
"b4270",0,0,0,0,0,0,0,0,0,0
"b4368",0,0,0,0,0,0,0,0,0,0
"b4369",0,0,0,0,0,0,0,0,0,0
"b4370",0,0,0,0,0,0,0,0,0,0
"b4408",34,87,0,2,1,25,28,10,18,23
"b4413",0,0,0,0,0,0,0,0,0,0
"b4414",10,17,0,0,0,9,5,9,7,4
"b4416",30,36,0,0,0,43,35,112,126,35
"b4417",0,0,0,0,0,0,0,0,0,0
"b4418",10,6,0,0,0,1,0,8,5,3
"b4420",0,0,0,0,0,0,0,0,0,0
"b4422",0,0,0,0,0,0,0,0,0,0
"b4424",0,0,0,0,0,0,0,0,0,0
"b4425",0,0,0,0,0,0,0,0,0,0
"b4426",0,0,0,0,0,0,0,0,0,0
"b4427",0,0,0,0,0,0,0,0,0,0
"b4429",0,0,0,0,0,0,0,0,0,0
"b4430",0,0,0,0,0,0,0,0,0,0
"b4431",0,0,0,0,0,0,0,0,0,0
"b4432",18,16,0,0,0,23,30,28,31,15
"b4433",0,0,0,0,0,0,0,0,0,0
"b4435",0,0,0,0,0,0,0,0,0,0
"b4436",0,0,0,0,0,0,0,0,0,0
"b4437",0,0,0,0,0,0,0,1,1,0
"b4438",0,0,0,0,0,0,0,0,0,0
"b4439",0,0,0,0,0,0,0,0,0,0
"b4440",0,1,0,0,0,0,0,0,0,1
"b4441",27,5,0,1,0,7,5,13,19,7
"b4442",0,0,0,0,0,0,0,0,0,0
"b4443",9,2,0,0,0,2,0,0,1,1
"b4444",0,0,0,0,0,0,0,0,0,0
"b4445",0,0,0,0,0,0,0,0,0,0
"b4446",2,1,0,0,0,0,2,0,1,0
"b4447",3,0,0,0,0,2,0,0,2,0
"b4449",0,0,0,0,0,0,0,0,0,0
"b4450",0,0,0,0,0,0,0,0,1,0
"b4451",0,0,0,0,0,0,0,0,0,0
"b4452",1,0,0,0,0,0,0,0,1,0
"b4454",0,0,0,0,0,0,0,0,0,0
"b4456",145,143,0,0,0,84,83,157,136,147
"b4457",372,539,0,0,0,405,390,941,848,521
"b4458",0,0,0,0,0,0,0,0,0,0
"b4459",0,0,0,0,0,0,0,0,0,0
"b4577",8,1,0,0,0,7,7,6,5,5
"b4585",0,0,0,0,0,0,0,0,0,0
"b4597",0,0,0,0,0,0,0,0,0,0
"b4603",0,0,0,0,0,0,0,0,0,0
"b4608",0,0,0,0,0,0,0,0,0,0
"b4609",126,85,0,0,0,62,48,71,88,73
"b4611",15,8,0,0,0,5,0,1,3,1
"b4616",0,0,0,0,0,0,0,0,0,0
"b4624",0,0,0,0,0,0,0,0,0,0
"b4625",0,0,0,0,0,0,0,0,0,0
"b4690",0,0,0,0,0,0,0,0,0,0
"b4691",2,4,0,0,0,0,0,0,0,2
"b4698",0,0,0,0,0,0,0,0,0,0
"b4699",0,0,0,0,0,0,0,0,0,0
"b4701",0,0,0,0,0,0,0,0,0,0
"b4704",0,0,0,0,0,0,0,0,0,0
"b4707",1,2,0,0,0,0,1,0,0,0
"b4712",0,0,0,0,0,0,0,0,0,0
"b4713",0,0,0,0,0,0,0,0,0,0
"b4714",0,0,0,0,0,0,0,0,0,0
"b4716",0,0,0,0,0,0,0,0,0,0
"b4717",0,0,0,0,0,0,0,0,0,0
"b4718",0,0,0,0,0,0,0,0,0,0
"b4719",0,0,0,0,0,0,0,0,0,0
"b4758",0,0,0,0,0,0,0,0,0,0
"b4759",0,0,0,0,0,0,0,0,0,0
"b4760",0,0,0,0,0,0,0,0,0,0
"b4761",0,0,0,0,0,0,0,0,0,0
"b4762",0,0,0,0,0,0,0,0,0,0
"b4763",28,14,0,0,1,18,19,16,23,16
"b4764",0,0,0,0,0,0,0,0,0,0
"b4804",8,9,0,0,0,59,31,46,41,42
"b4805",107,29,0,0,0,42,43,73,78,45
